시도,시군구,성별,총합계,D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),기타
강원특별자치도,원주시,남성,"3,639 ",,937 ,5 ,132 ,,2 ,,13 ,2 ,48 ,6 ,17 ,5 ,,,3 ,174 ,9 ,"1,071 ",,101 ,31 ,40 ,462 ,167 ,149 ,198 ,1 ,53 ,13 
강원특별자치도,원주시,여성,"3,115 ",,705 ,,96 ,,2 ,,4 ,,35 ,,84 ,3 ,,,,16 ,7 ,175 ,,190 ,55 ,92 ,556 ,280 ,694 ,69 ,7 ,38 ,7 
강원특별자치도,인제군,총계,593 ,,1 ,,1 ,,1 ,,,,,,15 ,,,,,18 ,179 ,190 ,,19 ,1 ,8 ,45 ,29 ,60 ,14 ,1 ,9 ,2 
강원특별자치도,인제군,남성,363 ,,,,1 ,,1 ,,,,,,4 ,,,,,16 ,130 ,147 ,,8 ,,1 ,22 ,12 ,3 ,10 ,1 ,5 ,2 
강원특별자치도,인제군,여성,230 ,,1 ,,,,,,,,,,11 ,,,,,2 ,49 ,43 ,,11 ,1 ,7 ,23 ,17 ,57 ,4 ,,4 ,0 
강원특별자치도,정선군,총계,435 ,,1 ,,,,,1 ,,2 ,1 ,,11 ,,,,,10 ,35 ,89 ,,36 ,4 ,1 ,59 ,35 ,108 ,32 ,1 ,6 ,3 
강원특별자치도,정선군,남성,199 ,,1 ,,,,,1 ,,2 ,,,2 ,,,,,10 ,12 ,77 ,,12 ,2 ,1 ,29 ,5 ,8 ,30 ,,5 ,2 
강원특별자치도,정선군,여성,236 ,,,,,,,,,,1 ,,9 ,,,,,,23 ,12 ,,24 ,2 ,,30 ,30 ,100 ,2 ,1 ,1 ,1 
강원특별자치도,철원군,총계,"1,065 ",,10 ,,,,2 ,,,,,,8 ,,,,2 ,37 ,39 ,683 ,,32 ,7 ,14 ,64 ,46 ,103 ,6 ,,9 ,3 
강원특별자치도,철원군,남성,672 ,,5 ,,,,1 ,,,,,,2 ,,,,1 ,36 ,29 ,521 ,,16 ,3 ,3 ,30 ,9 ,5 ,6 ,,3 ,2 
강원특별자치도,철원군,여성,393 ,,5 ,,,,1 ,,,,,,6 ,,,,1 ,1 ,10 ,162 ,,16 ,4 ,11 ,34 ,37 ,98 ,,,6 ,1 
강원특별자치도,춘천시,총계,"6,341 ",,"2,532 ",8 ,654 ,,5 ,,5 ,1 ,130 ,10 ,54 ,45 ,,,4 ,86 ,38 ,370 ,,180 ,117 ,246 ,739 ,312 ,607 ,115 ,9 ,56 ,18 
강원특별자치도,춘천시,남성,"3,195 ",,"1,310 ",6 ,454 ,,5 ,,2 ,1 ,65 ,7 ,20 ,35 ,,,4 ,69 ,38 ,313 ,,66 ,50 ,101 ,314 ,118 ,85 ,88 ,2 ,31 ,11 
강원특별자치도,춘천시,여성,"3,146 ",,"1,222 ",2 ,200 ,,,,3 ,,65 ,3 ,34 ,10 ,,,,17 ,,57 ,,114 ,67 ,145 ,425 ,194 ,522 ,27 ,7 ,25 ,7 
강원특별자치도,태백시,총계,407 ,,1 ,,,,11 ,,,,,,15 ,,,,4 ,25 ,1 ,72 ,,37 ,8 ,9 ,66 ,39 ,98 ,14 ,,4 ,3 
강원특별자치도,태백시,남성,160 ,,,,,,2 ,,,,,,4 ,,,,1 ,25 ,1 ,52 ,,10 ,2 ,4 ,25 ,12 ,7 ,12 ,,1 ,2 
강원특별자치도,태백시,여성,247 ,,1 ,,,,9 ,,,,,,11 ,,,,3 ,,,20 ,,27 ,6 ,5 ,41 ,27 ,91 ,2 ,,3 ,1 
강원특별자치도,평창군,총계,801 ,,34 ,,,,,,10 ,1 ,4 ,,12 ,6 ,,,4 ,28 ,33 ,219 ,,59 ,4 ,29 ,151 ,68 ,103 ,14 ,1 ,21 ,0 
강원특별자치도,평창군,남성,413 ,,19 ,,,,,,10 ,1 ,2 ,,4 ,5 ,,,3 ,26 ,23 ,158 ,,25 ,3 ,10 ,77 ,17 ,10 ,9 ,,11 ,0 
강원특별자치도,평창군,여성,388 ,,15 ,,,,,,,,2 ,,8 ,1 ,,,1 ,2 ,10 ,61 ,,34 ,1 ,19 ,74 ,51 ,93 ,5 ,1 ,10 ,0 
강원특별자치도,홍천군,총계,"1,386 ",,9 ,2 ,2 ,,5 ,,,,4 ,,9 ,2 ,,,,88 ,38 ,564 ,,56 ,11 ,28 ,239 ,81 ,188 ,29 ,,23 ,8 
강원특별자치도,홍천군,남성,772 ,,2 ,2 ,,,2 ,,,,1 ,,2 ,2 ,,,,84 ,32 ,424 ,,24 ,6 ,4 ,107 ,24 ,17 ,20 ,,15 ,4 
강원특별자치도,홍천군,여성,614 ,,7 ,,2 ,,3 ,,,,3 ,,7 ,,,,,4 ,6 ,140 ,,32 ,5 ,24 ,132 ,57 ,171 ,9 ,,8 ,4 
강원특별자치도,화천군,총계,315 ,,,,,,,,1 ,,,,11 ,,,,,8 ,8 ,140 ,,13 ,2 ,,38 ,20 ,49 ,18 ,2 ,1 ,4 
강원특별자치도,화천군,남성,188 ,,,,,,,,1 ,,,,2 ,,,,,8 ,5 ,126 ,,6 ,1 ,,17 ,2 ,2 ,17 ,,,1 
강원특별자치도,화천군,여성,127 ,,,,,,,,,,,,9 ,,,,,,3 ,14 ,,7 ,1 ,,21 ,18 ,47 ,1 ,2 ,1 ,3 
강원특별자치도,횡성군,총계,"1,617 ",,70 ,6 ,41 ,,2 ,,,,9 ,,14 ,,,,,74 ,45 ,655 ,,58 ,62 ,64 ,229 ,96 ,160 ,20 ,,9 ,3 
강원특별자치도,횡성군,남성,"1,003 ",,53 ,5 ,33 ,,1 ,,,,9 ,,5 ,,,,,73 ,32 ,558 ,,22 ,43 ,11 ,81 ,37 ,20 ,13 ,,5 ,2 
강원특별자치도,횡성군,여성,614 ,,17 ,1 ,8 ,,1 ,,,,,,9 ,,,,,1 ,13 ,97 ,,36 ,19 ,53 ,148 ,59 ,140 ,7 ,,4 ,1 
경기도,총계,총계,"734,495 ",4 ,"36,288 ",193 ,"15,465 ",5 ,502 ,184 ,"1,829 ",315 ,"4,246 ",338 ,"2,929 ",624 ,9 ,1 ,"1,183 ","21,726 ","1,299 ","120,697 ",10 ,"21,870 ","24,216 ","25,132 ","243,813 ","96,979 ","47,205 ","21,195 ",374 ,"31,867 ","13,997 "
경기도,가평군,총계,"1,831 ",,67 ,,39 ,,12 ,,1 ,,18 ,1 ,20 ,,,,5 ,63 ,1 ,204 ,,73 ,129 ,98 ,443 ,288 ,280 ,20 ,6 ,57 ,6 
경기도,가평군,남성,822 ,,33 ,,17 ,,7 ,,,,9 ,,5 ,,,,2 ,55 ,1 ,172 ,,28 ,59 ,37 ,207 ,91 ,46 ,15 ,2 ,31 ,5 
경기도,가평군,여성,"1,009 ",,34 ,,22 ,,5 ,,1 ,,9 ,1 ,15 ,,,,3 ,8 ,,32 ,,45 ,70 ,61 ,236 ,197 ,234 ,5 ,4 ,26 ,1 
경기도,고양시 덕양구,총계,"8,693 ",1 ,976 ,1 ,76 ,1 ,1 ,2 ,37 ,6 ,72 ,14 ,58 ,2 ,,,8 ,306 ,38 ,573 ,1 ,239 ,284 ,190 ,"2,888 ","1,137 ","1,269 ",187 ,18 ,225 ,83 
경기도,고양시 덕양구,남성,"4,008 ",1 ,533 ,1 ,50 ,1 ,1 ,2 ,31 ,6 ,32 ,12 ,19 ,2 ,,,4 ,165 ,30 ,463 ,1 ,88 ,106 ,75 ,"1,281 ",520 ,237 ,146 ,3 ,126 ,72 
경기도,고양시 덕양구,여성,"4,685 ",,443 ,,26 ,,,,6 ,,40 ,2 ,39 ,,,,4 ,141 ,8 ,110 ,,151 ,178 ,115 ,"1,607 ",617 ,"1,032 ",41 ,15 ,99 ,11 
경기도,고양시 일산동구,총계,"7,162 ",,194 ,,46 ,,4 ,2 ,29 ,5 ,46 ,10 ,126 ,16 ,,1 ,32 ,251 ,40 ,"1,375 ",,171 ,203 ,200 ,"2,409 ",788 ,821 ,191 ,9 ,164 ,29 
경기도,고양시 일산동구,남성,"3,785 ",,82 ,,19 ,,2 ,2 ,22 ,4 ,16 ,9 ,49 ,9 ,,1 ,22 ,219 ,25 ,"1,240 ",,67 ,82 ,73 ,"1,051 ",372 ,199 ,127 ,2 ,70 ,21 
경기도,고양시 일산동구,여성,"3,377 ",,112 ,,27 ,,2 ,,7 ,1 ,30 ,1 ,77 ,7 ,,,10 ,32 ,15 ,135 ,,104 ,121 ,127 ,"1,358 ",416 ,622 ,64 ,7 ,94 ,8 
경기도,고양시 일산서구,총계,"6,383 ",,213 ,,91 ,,2 ,,28 ,6 ,54 ,3 ,40 ,2 ,,,8 ,89 ,33 ,373 ,,182 ,228 ,238 ,"2,729 ",870 ,593 ,314 ,7 ,245 ,35 
경기도,고양시 일산서구,남성,"3,078 ",,123 ,,53 ,,2 ,,22 ,3 ,28 ,1 ,11 ,1 ,,,6 ,74 ,23 ,300 ,,71 ,99 ,110 ,"1,268 ",408 ,119 ,201 ,1 ,126 ,28 
경기도,고양시 일산서구,여성,"3,305 ",,90 ,,38 ,,,,6 ,3 ,26 ,2 ,29 ,1 ,,,2 ,15 ,10 ,73 ,,111 ,129 ,128 ,"1,461 ",462 ,474 ,113 ,6 ,119 ,7 
경기도,과천시,총계,573 ,,3 ,,3 ,,3 ,,3 ,,3 ,,3 ,,,,2 ,16 ,,13 ,,17 ,8 ,2 ,334 ,48 ,103 ,3 ,1 ,6 ,2 
경기도,과천시,남성,223 ,,,,1 ,,,,3 ,,,,1 ,,,,2 ,13 ,,12 ,,6 ,2 ,1 ,136 ,18 ,23 ,2 ,1 ,2 ,0 
경기도,과천시,여성,350 ,,3 ,,2 ,,3 ,,,,3 ,,2 ,,,,,3 ,,1 ,,11 ,6 ,1 ,198 ,30 ,80 ,1 ,,4 ,2 
경기도,광명시,총계,"5,513 ",,60 ,5 ,22 ,1 ,2 ,3 ,23 ,,12 ,4 ,27 ,2 ,,,5 ,56 ,14 ,209 ,,161 ,186 ,89 ,"2,495 ","1,140 ",610 ,85 ,12 ,274 ,16 
경기도,광명시,남성,"2,606 ",,23 ,2 ,11 ,1 ,2 ,3 ,16 ,,4 ,3 ,11 ,2 ,,,3 ,48 ,7 ,204 ,,64 ,74 ,23 ,"1,150 ",588 ,131 ,67 ,2 ,158 ,9 
경기도,광명시,여성,"2,907 ",,37 ,3 ,11 ,,,,7 ,,8 ,1 ,16 ,,,,2 ,8 ,7 ,5 ,,97 ,112 ,66 ,"1,345 ",552 ,479 ,18 ,10 ,116 ,7 
경기도,광주시,총계,"19,399 ",,598 ,3 ,411 ,,4 ,6 ,28 ,7 ,66 ,1 ,21 ,1 ,,,5 ,"1,018 ",5 ,"7,199 ",,572 ,444 ,760 ,"3,987 ","1,750 ","1,399 ",496 ,12 ,515 ,91 
경기도,광주시,남성,"12,498 ",,318 ,2 ,245 ,,3 ,4 ,24 ,3 ,27 ,1 ,9 ,1 ,,,2 ,964 ,4 ,"6,386 ",,240 ,191 ,246 ,"1,965 ",880 ,278 ,360 ,3 ,262 ,80 
경기도,광주시,여성,"6,901 ",,280 ,1 ,166 ,,1 ,2 ,4 ,4 ,39 ,,12 ,,,,3 ,54 ,1 ,813 ,,332 ,253 ,514 ,"2,022 ",870 ,"1,121 ",136 ,9 ,253 ,11 
경기도,구리시,총계,"2,380 ",,163 ,,33 ,,5 ,,13 ,8 ,46 ,,43 ,4 ,,,6 ,78 ,,278 ,,89 ,73 ,115 ,626 ,310 ,354 ,61 ,15 ,55 ,5 
경기도,구리시,남성,"1,132 ",,79 ,,16 ,,3 ,,8 ,5 ,29 ,,12 ,1 ,,,2 ,52 ,,248 ,,38 ,30 ,54 ,290 ,123 ,66 ,35 ,8 ,30 ,3 
경기도,구리시,여성,"1,248 ",,84 ,,17 ,,2 ,,5 ,3 ,17 ,,31 ,3 ,,,4 ,26 ,,30 ,,51 ,43 ,61 ,336 ,187 ,288 ,26 ,7 ,25 ,2 
경기도,군포시,총계,"10,624 ",,344 ,1 ,81 ,,1 ,,12 ,5 ,58 ,7 ,34 ,2 ,,,8 ,136 ,,609 ,,301 ,419 ,212 ,"4,774 ","2,050 ",833 ,187 ,7 ,520 ,23 
경기도,군포시,남성,"5,194 ",,160 ,,37 ,,1 ,,7 ,2 ,22 ,7 ,15 ,1 ,,,3 ,114 ,,512 ,,126 ,179 ,90 ,"2,197 ","1,064 ",234 ,118 ,2 ,288 ,15 
