;[1],,,,,,,
「국내체류외국인 신규 유입·유출 통계」 결과표 (2026년 6월),,,,,,,
;,,,,,,,
,,,,,,,
"법무부, 외국인정보빅데이터팀",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
;[2],,,,,,,
,목  차,,,,,,
,,,,,,,
  1. 지역별 외국인 신규 유입 현황 1 2. 지역별 외국인 유출 현황 2 3. 지역별 외국인 순증감(신규 유입-유출) 현황 3 4. 주요 체류자격별 외국인 신규 유입 현황 4 5. 주요 체류자격별 외국인 유출 현황 5 6. 주요 체류자격별 외국인 순증감(신규 유입-유출) 현황 6 ,,,,,,,
;,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1. 지역별 외국인 신규 유입 현황,,,,,,,
 ,,,,,,,
,,,,,,,
;[3],,,,,,,
월 시도,’26년 2월,’26년 3월,’26년 4월,’26년 5월,’26년 6월,전월 대비,
 ,,,,,,,
,,,,,,,
;[7],,,,,,,
시도,합계,재외동포 (F-4),비전문취업 (E-9),유학 (D-2),영주 (F-5),결혼이민 (F-6),그 외 체류자격
합계,"24,311","2,561","1,401","4,921",764,878,"13,786"
서울,"5,377",684,22,"2,067",185,128,"2,291"
경기,"4,852","1,091",492,380,338,211,"2,340"
경남,"2,846",74,145,65,15,52,"2,495"
전남,"2,187",25,139,42,10,32,"1,939"
충남,"1,476",164,134,99,22,44,"1,013"
경북,"1,402",41,109,199,13,61,979
전북,"1,329",32,48,760,6,82,401
인천,"1,005",151,63,220,85,58,428
부산,774,60,36,281,25,44,328
제주,615,23,19,8,14,10,541
충북,574,71,82,116,16,18,271
대전,464,19,8,288,5,20,124
강원,386,26,26,140,6,28,160
대구,379,33,27,83,5,35,196
광주,292,31,14,107,3,17,120
울산,263,26,34,30,15,34,124
세종,90,10,3,36,1,4,36
;,,,,,,,
,,,,,,,
6. 주요 체류자격별 외국인 순증감(신규 유입-유출) 현황(’26년 6월),,,,,,,
,,,,,,,
,,,,,,,
;[8],,,,,,,
시도,합계,재외동포 (F-4),비전문취업 (E-9),유학 (D-2),영주 (F-5),결혼이민 (F-6),그 외 체류자격
합계,"17,176","2,253","2,154","-4,623",-687,210,"17,869"
경기,"3,635","1,051",961,-302,-303,117,"2,111"
강원,"3,568",9,39,-137,-5,-5,"3,667"
경북,"2,632",36,114,-197,-10,-8,"2,697"
충남,"2,472",83,140,-95,-17,7,"2,354"
전북,"2,416",11,76,-746,-3,-51,"3,129"
충북,"1,456",55,151,-112,-12,9,"1,365"
전남,"1,180",14,117,-41,-10,14,"1,086"
대구,293,26,37,-82,-4,13,303
부산,281,34,75,-279,-24,3,472
인천,253,204,93,-207,-80,20,223
광주,115,9,43,-106,-2,6,165
울산,85,10,9,-28,-13,-6,113
제주,53,3,124,-8,-13,5,-58
세종,-15,0,12,-36,-1,-1,11
대전,-41,18,7,-282,-5,7,214
서울,-561,647,17,"-1,901",-171,60,787
경남,-646,43,139,-64,-14,20,-770
;,,,,,,,
